sala_origen,sala_destino,edificio_origen,edificio_destino,piso_origen,piso_destino,distancia,tipo_transicion,costo_final,costo
r1,r1,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r1,r2,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r1,r3,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r1,r4,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r1,r5,E1,E2,1,1,78.0,cambio_edificio,13.8,13.8
r1,r6,E1,E3,1,1,148.0,cambio_edificio,20.8,20.8
r1,r7,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r1,r8,E1,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r1,r9,E1,E3,1,1,140.2284,cambio_edificio,20.0228,20.0228
r1,r10,E1,E1,1,2,4.0,distinto_piso,2.4,2.4
r1,r11,E1,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r1,r12,E1,E3,1,2,140.0571,cambio_edificio,20.0057,20.0057
r2,r1,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r2,r2,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r2,r3,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r2,r4,E2,E1,1,1,62.0,cambio_edificio,12.2,12.2
r2,r5,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r2,r6,E2,E3,1,1,78.0,cambio_edificio,13.8,13.8
r2,r7,E2,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r2,r8,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r2,r9,E2,E3,1,1,70.4557,cambio_edificio,13.0456,13.0456
r2,r10,E2,E1,1,2,70.1142,cambio_edificio,13.0114,13.0114
r2,r11,E2,E2,1,2,4.0,distinto_piso,2.4,2.4
r2,r12,E2,E3,1,2,70.1142,cambio_edificio,13.0114,13.0114
r3,r1,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
r3,r2,E3,E2,1,1,70.0,cambio_edificio,13.0,13.0
r3,r3,E3,E3,1,1,0.0,misma_sala,0.0,0.0
r3,r4,E3,E1,1,1,132.0,cambio_edificio,19.2,19.2
r3,r5,E3,E2,1,1,62.0,cambio_edificio,12.2,12.2
r3,r6,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r3,r7,E3,E1,1,1,140.2284,cambio_edificio,20.0228,20.0228
r3,r8,E3,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r3,r9,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r3,r10,E3,E1,1,2,140.0571,cambio_edificio,20.0057,20.0057
r3,r11,E3,E2,1,2,70.1142,cambio_edificio,13.0114,13.0114
r3,r12,E3,E3,1,2,4.0,distinto_piso,2.4,2.4
r4,r1,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r4,r2,E1,E2,1,1,62.0,cambio_edificio,12.2,12.2
r4,r3,E1,E3,1,1,132.0,cambio_edificio,19.2,19.2
r4,r4,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r4,r5,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r4,r6,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r4,r7,E1,E1,1,1,11.3137,mismo_piso,1.6314,1.6314
r4,r8,E1,E2,1,1,62.514,cambio_edificio,12.2514,12.2514
r4,r9,E1,E3,1,1,132.2422,cambio_edificio,19.2242,19.2242
r4,r10,E1,E1,1,2,8.9443,distinto_piso,2.8944,2.8944
r4,r11,E1,E2,1,2,62.1289,cambio_edificio,12.2129,12.2129
r4,r12,E1,E3,1,2,132.0606,cambio_edificio,19.2061,19.2061
r5,r1,E2,E1,1,1,78.0,cambio_edificio,13.8,13.8
r5,r2,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r5,r3,E2,E3,1,1,62.0,cambio_edificio,12.2,12.2
r5,r4,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r5,r5,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r5,r6,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r5,r7,E2,E1,1,1,78.4092,cambio_edificio,13.8409,13.8409
r5,r8,E2,E2,1,1,11.3137,mismo_piso,1.6314,1.6314
r5,r9,E2,E3,1,1,62.514,cambio_edificio,12.2514,12.2514
r5,r10,E2,E1,1,2,78.1025,cambio_edificio,13.8102,13.8102
r5,r11,E2,E2,1,2,8.9443,distinto_piso,2.8944,2.8944
r5,r12,E2,E3,1,2,62.1289,cambio_edificio,12.2129,12.2129
r6,r1,E3,E1,1,1,148.0,cambio_edificio,20.8,20.8
r6,r2,E3,E2,1,1,78.0,cambio_edificio,13.8,13.8
r6,r3,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r6,r4,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
r6,r5,E3,E2,1,1,70.0,cambio_edificio,13.0,13.0
r6,r6,E3,E3,1,1,0.0,misma_sala,0.0,0.0
r6,r7,E3,E1,1,1,148.2161,cambio_edificio,20.8216,20.8216
r6,r8,E3,E2,1,1,78.4092,cambio_edificio,13.8409,13.8409
r6,r9,E3,E3,1,1,11.3137,mismo_piso,1.6314,1.6314
r6,r10,E3,E1,1,2,148.054,cambio_edificio,20.8054,20.8054
r6,r11,E3,E2,1,2,78.1025,cambio_edificio,13.8102,13.8102
r6,r12,E3,E3,1,2,8.9443,distinto_piso,2.8944,2.8944
r7,r1,E1,E1,1,1,8.0,mismo_piso,1.3,1.3
r7,r2,E1,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r7,r3,E1,E3,1,1,140.2284,cambio_edificio,20.0228,20.0228
r7,r4,E1,E1,1,1,11.3137,mismo_piso,1.6314,1.6314
r7,r5,E1,E2,1,1,78.4092,cambio_edificio,13.8409,13.8409
r7,r6,E1,E3,1,1,148.2161,cambio_edificio,20.8216,20.8216
r7,r7,E1,E1,1,1,0.0,misma_sala,0.0,0.0
r7,r8,E1,E2,1,1,70.0,cambio_edificio,13.0,13.0
r7,r9,E1,E3,1,1,140.0,cambio_edificio,20.0,20.0
r7,r10,E1,E1,1,2,8.9443,distinto_piso,2.8944,2.8944
r7,r11,E1,E2,1,2,70.5691,cambio_edificio,13.0569,13.0569
r7,r12,E1,E3,1,2,140.2854,cambio_edificio,20.0285,20.0285
r8,r1,E2,E1,1,1,70.4557,cambio_edificio,13.0456,13.0456
r8,r2,E2,E2,1,1,8.0,mismo_piso,1.3,1.3
r8,r3,E2,E3,1,1,70.4557,cambio_edificio,13.0456,13.0456
r8,r4,E2,E1,1,1,62.514,cambio_edificio,12.2514,12.2514
r8,r5,E2,E2,1,1,11.3137,mismo_piso,1.6314,1.6314
r8,r6,E2,E3,1,1,78.4092,cambio_edificio,13.8409,13.8409
r8,r7,E2,E1,1,1,70.0,cambio_edificio,13.0,13.0
r8,r8,E2,E2,1,1,0.0,misma_sala,0.0,0.0
r8,r9,E2,E3,1,1,70.0,cambio_edificio,13.0,13.0
r8,r10,E2,E1,1,2,70.5691,cambio_edificio,13.0569,13.0569
r8,r11,E2,E2,1,2,8.9443,distinto_piso,2.8944,2.8944
r8,r12,E2,E3,1,2,70.5691,cambio_edificio,13.0569,13.0569
r9,r1,E3,E1,1,1,140.2284,cambio_edificio,20.0228,20.0228
r9,r2,E3,E2,1,1,70.4557,cambio_edificio,13.0456,13.0456
r9,r3,E3,E3,1,1,8.0,mismo_piso,1.3,1.3
r9,r4,E3,E1,1,1,132.2422,cambio_edificio,19.2242,19.2242
r9,r5,E3,E2,1,1,62.514,cambio_edificio,12.2514,12.2514
r9,r6,E3,E3,1,1,11.3137,mismo_piso,1.6314,1.6314
r9,r7,E3,E1,1,1,140.0,cambio_edificio,20.0,20.0
r9,r8,E3,E2,1,1,70.0,cambio_edificio,13.0,13.0
r9,r9,E3,E3,1,1,0.0,misma_sala,0.0,0.0
r9,r10,E3,E1,1,2,140.2854,cambio_edificio,20.0285,20.0285
r9,r11,E3,E2,1,2,70.5691,cambio_edificio,13.0569,13.0569
r9,r12,E3,E3,1,2,8.9443,distinto_piso,2.8944,2.8944
r10,r1,E1,E1,2,1,4.0,distinto_piso,2.4,2.4
r10,r2,E1,E2,2,1,70.1142,cambio_edificio,13.0114,13.0114
r10,r3,E1,E3,2,1,140.0571,cambio_edificio,20.0057,20.0057
r10,r4,E1,E1,2,1,8.9443,distinto_piso,2.8944,2.8944
r10,r5,E1,E2,2,1,78.1025,cambio_edificio,13.8102,13.8102
r10,r6,E1,E3,2,1,148.054,cambio_edificio,20.8054,20.8054
r10,r7,E1,E1,2,1,8.9443,distinto_piso,2.8944,2.8944
r10,r8,E1,E2,2,1,70.5691,cambio_edificio,13.0569,13.0569
r10,r9,E1,E3,2,1,140.2854,cambio_edificio,20.0285,20.0285
r10,r10,E1,E1,2,2,0.0,misma_sala,0.0,0.0
r10,r11,E1,E2,2,2,70.0,cambio_edificio,13.0,13.0
r10,r12,E1,E3,2,2,140.0,cambio_edificio,20.0,20.0
r11,r1,E2,E1,2,1,70.1142,cambio_edificio,13.0114,13.0114
r11,r2,E2,E2,2,1,4.0,distinto_piso,2.4,2.4
r11,r3,E2,E3,2,1,70.1142,cambio_edificio,13.0114,13.0114
r11,r4,E2,E1,2,1,62.1289,cambio_edificio,12.2129,12.2129
r11,r5,E2,E2,2,1,8.9443,distinto_piso,2.8944,2.8944
r11,r6,E2,E3,2,1,78.1025,cambio_edificio,13.8102,13.8102
r11,r7,E2,E1,2,1,70.5691,cambio_edificio,13.0569,13.0569
r11,r8,E2,E2,2,1,8.9443,distinto_piso,2.8944,2.8944
r11,r9,E2,E3,2,1,70.5691,cambio_edificio,13.0569,13.0569
r11,r10,E2,E1,2,2,70.0,cambio_edificio,13.0,13.0
r11,r11,E2,E2,2,2,0.0,misma_sala,0.0,0.0
r11,r12,E2,E3,2,2,70.0,cambio_edificio,13.0,13.0
r12,r1,E3,E1,2,1,140.0571,cambio_edificio,20.0057,20.0057
r12,r2,E3,E2,2,1,70.1142,cambio_edificio,13.0114,13.0114
r12,r3,E3,E3,2,1,4.0,distinto_piso,2.4,2.4
r12,r4,E3,E1,2,1,132.0606,cambio_edificio,19.2061,19.2061
r12,r5,E3,E2,2,1,62.1289,cambio_edificio,12.2129,12.2129
r12,r6,E3,E3,2,1,8.9443,distinto_piso,2.8944,2.8944
r12,r7,E3,E1,2,1,140.2854,cambio_edificio,20.0285,20.0285
r12,r8,E3,E2,2,1,70.5691,cambio_edificio,13.0569,13.0569
r12,r9,E3,E3,2,1,8.9443,distinto_piso,2.8944,2.8944
r12,r10,E3,E1,2,2,140.0,cambio_edificio,20.0,20.0
r12,r11,E3,E2,2,2,70.0,cambio_edificio,13.0,13.0
r12,r12,E3,E3,2,2,0.0,misma_sala,0.0,0.0
