curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,27,C1,1,C1_1,catedra
k2,2,30,C2,1,C2_1,laboratorio
k3,2,36,C3,1,C3_1,laboratorio
k4,2,55,C4,1,C4_1,catedra
k5,2,28,C1,2,C1_2,laboratorio
k6,2,32,C2,2,C2_2,catedra
k7,2,36,C3,2,C3_2,catedra
k8,2,42,C4,2,C4_2,catedra
k9,2,24,C1,3,C1_3,catedra
k10,2,36,C2,3,C2_3,laboratorio
k11,2,33,C3,3,C3_3,laboratorio
k12,2,43,C4,3,C4_3,catedra
k13,2,29,C1,1,C1_1,laboratorio
k14,2,32,C2,1,C2_1,catedra
k15,2,42,C3,1,C3_1,laboratorio
k16,2,46,C4,1,C4_1,laboratorio
