curso_b1,curso_b2,flujo
i1,k1,12
i1,k2,1
i1,k3,2
i1,k6,5
i1,k7,1
i1,k8,2
i1,k9,1
i1,k10,1
i1,k11,2
i1,k14,1
i1,k16,14
i1,k18,1
i1,k19,1
i1,k21,1
i1,k22,2
i1,k23,1
i2,k2,6
i2,k4,1
i2,k7,1
i2,k12,1
i2,k15,1
i2,k17,7
i2,k19,1
i2,k22,2
i3,k1,1
i3,k3,18
i3,k6,1
i3,k7,1
i3,k8,2
i3,k12,1
i3,k13,1
i3,k16,2
i3,k18,13
i3,k22,1
i4,k2,1
i4,k4,7
i4,k5,1
i4,k6,1
i4,k8,1
i4,k9,2
i4,k12,1
i4,k14,7
i4,k15,2
i4,k16,1
i4,k17,1
i4,k19,12
i4,k24,3
i5,k2,1
i5,k3,1
i5,k5,6
i5,k7,1
i5,k10,1
i5,k13,1
i5,k15,1
i5,k20,8
i5,k22,2
i6,k1,3
i6,k6,14
i6,k7,1
i6,k11,1
i6,k13,1
i6,k14,1
i6,k16,4
i6,k18,1
i6,k19,1
i6,k21,10
i7,k2,6
i7,k6,2
i7,k7,10
i7,k12,3
i7,k13,1
i7,k17,2
i7,k18,1
i7,k20,1
i7,k22,7
i8,k3,2
i8,k5,1
i8,k6,1
i8,k7,1
i8,k8,13
i8,k10,1
i8,k12,1
i8,k13,2
i8,k16,1
i8,k18,4
i8,k19,1
i8,k21,1
i8,k23,8
i8,k24,1
i9,k3,2
i9,k6,1
i9,k7,1
i9,k8,1
i9,k9,17
i9,k10,2
i9,k11,1
i9,k14,4
i9,k18,1
i9,k19,7
i9,k22,2
i9,k24,9
i10,k2,3
i10,k5,2
i10,k7,1
i10,k10,11
i10,k11,1
i10,k14,1
i10,k15,3
i10,k16,2
i10,k20,4
i11,k1,4
i11,k3,1
i11,k6,2
i11,k11,9
i11,k16,2
i11,k18,1
i11,k21,3
i11,k24,1
i12,k2,1
i12,k6,1
i12,k7,5
i12,k11,1
i12,k12,11
i12,k13,1
i12,k15,1
i12,k19,1
i12,k21,2
i13,k1,1
i13,k3,1
i13,k7,1
i13,k8,5
i13,k12,1
i13,k13,9
i13,k14,1
i13,k15,1
i13,k17,2
i13,k18,3
i13,k19,1
i13,k22,1
i13,k23,3
i14,k4,3
i14,k6,1
i14,k9,1
i14,k14,6
i14,k17,1
i14,k18,1
i14,k19,7
i15,k3,1
i15,k5,4
i15,k7,1
i15,k10,1
i15,k15,24
i15,k17,1
i15,k20,4
i15,k21,1
i15,k23,1
i16,k1,12
i16,k2,3
i16,k6,3
i16,k10,1
i16,k14,1
i16,k15,1
i16,k16,7
i16,k17,1
i16,k18,1
i16,k21,4
i16,k22,1
i17,k1,1
i17,k2,6
i17,k7,1
i17,k8,2
i17,k12,2
i17,k13,1
i17,k17,15
i17,k19,1
i17,k21,1
i17,k22,3
i17,k23,1
i18,k2,1
i18,k3,14
i18,k8,3
i18,k9,1
i18,k10,1
i18,k11,1
i18,k12,1
i18,k13,5
i18,k18,10
i18,k19,1
i18,k20,1
i18,k23,3
i19,k1,1
i19,k2,1
i19,k3,2
i19,k4,7
i19,k5,1
i19,k9,2
i19,k12,1
i19,k14,2
i19,k19,7
i20,k2,1
i20,k4,1
i20,k5,15
i20,k10,3
i20,k11,1
i20,k20,7
i20,k21,1
i21,k1,2
i21,k5,1
i21,k6,14
i21,k7,2
i21,k10,1
i21,k11,1
i21,k16,3
i21,k19,1
i21,k20,1
i21,k21,13
i22,k1,1
i22,k2,1
i22,k4,1
i22,k7,7
i22,k8,1
i22,k11,1
i22,k12,1
i22,k17,1
i22,k22,8
i22,k23,1
i22,k24,1
i23,k1,1
i23,k2,1
i23,k3,5
i23,k5,1
i23,k7,1
i23,k8,11
i23,k12,1
i23,k13,2
i23,k14,1
i23,k18,3
i23,k19,1
i23,k23,16
i24,k1,1
i24,k2,1
i24,k4,1
i24,k5,1
i24,k7,1
i24,k9,11
i24,k10,1
i24,k11,2
i24,k13,1
i24,k14,3
i24,k18,2
i24,k19,2
i24,k21,1
i24,k23,1
i24,k24,15
