sala_id,edificio,piso,capacidad,tipo_sala,coord_x,coord_y,coord_z
r1,E1,1,60,auditorio,5.0,5.0,4.0
r2,E2,1,45,auditorio,75.0,5.0,4.0
r3,E3,1,40,catedra,145.0,5.0,4.0
r4,E4,1,40,catedra,5.0,75.0,4.0
r5,E5,1,50,laboratorio,75.0,75.0,4.0
r6,E1,1,40,auditorio,13.0,5.0,4.0
r7,E2,1,40,auditorio,83.0,5.0,4.0
r8,E3,1,45,laboratorio,153.0,5.0,4.0
r9,E4,1,80,laboratorio,13.0,75.0,4.0
r10,E5,1,40,auditorio,83.0,75.0,4.0
r11,E1,1,45,catedra,5.0,13.0,4.0
r12,E2,1,45,laboratorio,75.0,13.0,4.0
r13,E3,1,60,auditorio,145.0,13.0,4.0
r14,E4,1,80,auditorio,5.0,83.0,4.0
r15,E5,1,60,catedra,75.0,83.0,4.0
r16,E1,2,80,laboratorio,5.0,5.0,8.0
r17,E2,2,40,laboratorio,75.0,5.0,8.0
r18,E3,2,45,catedra,145.0,5.0,8.0
r19,E4,2,60,auditorio,5.0,75.0,8.0
r20,E5,2,50,laboratorio,75.0,75.0,8.0
r21,E1,2,35,laboratorio,13.0,5.0,8.0
r22,E2,2,80,catedra,83.0,5.0,8.0
r23,E3,2,45,auditorio,153.0,5.0,8.0
r24,E4,2,40,catedra,13.0,75.0,8.0
