curso_id,bloque,tamano,carrera,anio,grupo,tipo_curso
k1,2,50,C1,1,C1_1,catedra
k2,2,41,C2,1,C2_1,catedra
k3,2,40,C3,1,C3_1,catedra
k4,2,35,C4,1,C4_1,laboratorio
k5,2,45,C1,2,C1_2,laboratorio
k6,2,31,C2,2,C2_2,catedra
k7,2,28,C3,2,C3_2,laboratorio
k8,2,21,C4,2,C4_2,catedra
k9,2,28,C1,3,C1_3,laboratorio
k10,2,28,C2,3,C2_3,catedra
k11,2,25,C3,3,C3_3,laboratorio
k12,2,22,C4,3,C4_3,laboratorio
k13,2,58,C1,1,C1_1,catedra
k14,2,45,C2,1,C2_1,laboratorio
k15,2,32,C3,1,C3_1,catedra
k16,2,32,C4,1,C4_1,catedra
k17,2,44,C1,2,C1_2,catedra
k18,2,41,C2,2,C2_2,laboratorio
