curso_b1,curso_b2,flujo
i1,k1,6
i1,k6,2
i1,k7,1
i1,k9,2
i1,k10,1
i1,k12,1
i1,k13,7
i1,k14,2
i1,k17,1
i2,k1,1
i2,k2,12
i2,k3,1
i2,k6,3
i2,k10,3
i2,k11,1
i2,k12,1
i2,k13,1
i2,k14,11
i2,k16,1
i2,k18,5
i3,k2,1
i3,k3,14
i3,k7,1
i3,k9,2
i3,k11,6
i3,k12,1
i3,k13,1
i3,k15,11
i4,k1,1
i4,k4,18
i4,k8,1
i4,k10,1
i4,k12,3
i4,k15,1
i4,k16,14
i4,k17,3
i4,k18,1
i5,k1,3
i5,k4,1
i5,k5,10
i5,k6,1
i5,k7,2
i5,k9,1
i5,k10,1
i5,k13,2
i5,k14,2
i5,k16,1
i5,k17,13
i6,k2,6
i6,k5,1
i6,k6,14
i6,k11,1
i6,k14,5
i6,k16,2
i6,k18,9
i7,k1,1
i7,k2,1
i7,k3,2
i7,k7,9
i7,k10,1
i7,k11,1
i7,k14,1
i7,k15,1
i7,k16,1
i7,k17,1
i8,k4,4
i8,k7,1
i8,k8,8
i8,k9,2
i8,k10,1
i8,k12,4
i8,k13,1
i8,k16,3
i9,k2,1
i9,k3,1
i9,k5,4
i9,k9,6
i9,k10,1
i9,k11,1
i9,k13,6
i9,k14,1
i9,k15,1
i9,k17,4
i9,k18,1
i10,k1,1
i10,k2,1
i10,k5,1
i10,k6,3
i10,k10,15
i10,k12,2
i10,k14,3
i10,k15,1
i10,k17,1
i10,k18,3
i11,k2,1
i11,k3,4
i11,k4,2
i11,k5,1
i11,k7,8
i11,k8,1
i11,k10,1
i11,k11,10
i11,k12,2
i11,k14,1
i11,k15,8
i11,k16,3
i11,k17,1
i12,k4,3
i12,k6,3
i12,k8,3
i12,k10,1
i12,k11,1
i12,k12,12
i12,k15,1
i12,k16,4
i13,k1,17
i13,k5,3
i13,k7,1
i13,k8,2
i13,k9,3
i13,k10,2
i13,k13,16
i13,k17,7
i13,k18,4
i14,k2,10
i14,k5,1
i14,k6,3
i14,k8,1
i14,k9,1
i14,k10,2
i14,k11,2
i14,k13,1
i14,k14,11
i14,k16,1
i14,k18,3
i15,k1,1
i15,k3,8
i15,k4,1
i15,k7,2
i15,k10,1
i15,k14,1
i15,k15,8
i15,k17,1
i16,k1,1
i16,k4,13
i16,k8,2
i16,k10,1
i16,k11,2
i16,k12,1
i16,k16,17
i17,k1,2
i17,k2,2
i17,k3,1
i17,k5,10
i17,k6,1
i17,k7,1
i17,k9,2
i17,k12,1
i17,k13,3
i17,k14,1
i17,k15,1
i17,k17,9
i17,k18,1
i18,k2,3
i18,k3,1
i18,k4,2
i18,k6,11
i18,k10,2
i18,k14,1
i18,k16,1
i18,k18,10
