sala_origen,sala_destino,costo
r1,r1,0
r1,r2,1
r1,r3,1
r1,r4,1
r1,r5,1
r1,r6,1
r1,r7,1
r1,r8,1
r1,r9,1
r1,r10,1
r1,r11,1
r1,r12,1
r1,r13,1
r1,r14,1
r1,r15,1
r1,r16,1
r2,r1,1
r2,r2,0
r2,r3,1
r2,r4,1
r2,r5,1
r2,r6,1
r2,r7,1
r2,r8,1
r2,r9,1
r2,r10,1
r2,r11,1
r2,r12,1
r2,r13,1
r2,r14,1
r2,r15,1
r2,r16,1
r3,r1,1
r3,r2,1
r3,r3,0
r3,r4,1
r3,r5,1
r3,r6,1
r3,r7,1
r3,r8,1
r3,r9,1
r3,r10,1
r3,r11,1
r3,r12,1
r3,r13,1
r3,r14,1
r3,r15,1
r3,r16,1
r4,r1,1
r4,r2,1
r4,r3,1
r4,r4,0
r4,r5,1
r4,r6,1
r4,r7,1
r4,r8,1
r4,r9,1
r4,r10,1
r4,r11,1
r4,r12,1
r4,r13,1
r4,r14,1
r4,r15,1
r4,r16,1
r5,r1,1
r5,r2,1
r5,r3,1
r5,r4,1
r5,r5,0
r5,r6,1
r5,r7,1
r5,r8,1
r5,r9,1
r5,r10,1
r5,r11,1
r5,r12,1
r5,r13,1
r5,r14,1
r5,r15,1
r5,r16,1
r6,r1,1
r6,r2,1
r6,r3,1
r6,r4,1
r6,r5,1
r6,r6,0
r6,r7,1
r6,r8,1
r6,r9,1
r6,r10,1
r6,r11,1
r6,r12,1
r6,r13,1
r6,r14,1
r6,r15,1
r6,r16,1
r7,r1,1
r7,r2,1
r7,r3,1
r7,r4,1
r7,r5,1
r7,r6,1
r7,r7,0
r7,r8,1
r7,r9,1
r7,r10,1
r7,r11,1
r7,r12,1
r7,r13,1
r7,r14,1
r7,r15,1
r7,r16,1
r8,r1,1
r8,r2,1
r8,r3,1
r8,r4,1
r8,r5,1
r8,r6,1
r8,r7,1
r8,r8,0
r8,r9,1
r8,r10,1
r8,r11,1
r8,r12,1
r8,r13,1
r8,r14,1
r8,r15,1
r8,r16,1
r9,r1,1
r9,r2,1
r9,r3,1
r9,r4,1
r9,r5,1
r9,r6,1
r9,r7,1
r9,r8,1
r9,r9,0
r9,r10,1
r9,r11,1
r9,r12,1
r9,r13,1
r9,r14,1
r9,r15,1
r9,r16,1
r10,r1,1
r10,r2,1
r10,r3,1
r10,r4,1
r10,r5,1
r10,r6,1
r10,r7,1
r10,r8,1
r10,r9,1
r10,r10,0
r10,r11,1
r10,r12,1
r10,r13,1
r10,r14,1
r10,r15,1
r10,r16,1
r11,r1,1
r11,r2,1
r11,r3,1
r11,r4,1
r11,r5,1
r11,r6,1
r11,r7,1
r11,r8,1
r11,r9,1
r11,r10,1
r11,r11,0
r11,r12,1
r11,r13,1
r11,r14,1
r11,r15,1
r11,r16,1
r12,r1,1
r12,r2,1
r12,r3,1
r12,r4,1
r12,r5,1
r12,r6,1
r12,r7,1
r12,r8,1
r12,r9,1
r12,r10,1
r12,r11,1
r12,r12,0
r12,r13,1
r12,r14,1
r12,r15,1
r12,r16,1
r13,r1,1
r13,r2,1
r13,r3,1
r13,r4,1
r13,r5,1
r13,r6,1
r13,r7,1
r13,r8,1
r13,r9,1
r13,r10,1
r13,r11,1
r13,r12,1
r13,r13,0
r13,r14,1
r13,r15,1
r13,r16,1
r14,r1,1
r14,r2,1
r14,r3,1
r14,r4,1
r14,r5,1
r14,r6,1
r14,r7,1
r14,r8,1
r14,r9,1
r14,r10,1
r14,r11,1
r14,r12,1
r14,r13,1
r14,r14,0
r14,r15,1
r14,r16,1
r15,r1,1
r15,r2,1
r15,r3,1
r15,r4,1
r15,r5,1
r15,r6,1
r15,r7,1
r15,r8,1
r15,r9,1
r15,r10,1
r15,r11,1
r15,r12,1
r15,r13,1
r15,r14,1
r15,r15,0
r15,r16,1
r16,r1,1
r16,r2,1
r16,r3,1
r16,r4,1
r16,r5,1
r16,r6,1
r16,r7,1
r16,r8,1
r16,r9,1
r16,r10,1
r16,r11,1
r16,r12,1
r16,r13,1
r16,r14,1
r16,r15,1
r16,r16,0
